latitude,longitude,acq_datetime,frp,confidence,brightness,satellite,instrument,daynight,facility_id,facility_name,facility_type,power,man_made,industrial,distance_to_industry_km
26.5233,90.5319,2026-09-03 06:40:00,5.37,n,340.13,N21,VIIRS,D,12568540667,Unnamed facility,storage_tank,,storage_tank,,511.09
27.98609,95.93691,2026-09-03 06:40:00,8.26,n,333.62,N21,VIIRS,D,12568540667,Unnamed facility,storage_tank,,storage_tank,,1044.837
27.32438,95.27836,2026-09-03 06:40:00,2.0,n,330.51,N21,VIIRS,D,12568540667,Unnamed facility,storage_tank,,storage_tank,,936.071
7.46132,81.61855,2026-09-03 07:29:00,5.54,n,331.29,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1883.731
7.52379,81.09198,2026-09-03 07:29:00,17.96,l,332.6,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1900.863
7.55572,81.30218,2026-09-03 07:29:00,5.41,n,331.63,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1887.984
7.62007,80.96745,2026-09-03 07:29:00,5.49,n,331.9,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1896.864
7.68068,81.63508,2026-09-03 07:29:00,4.17,n,337.95,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1860.33
7.6815,80.17891,2026-09-03 07:29:00,4.12,n,333.59,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1929.56
7.73792,81.0778,2026-09-03 07:29:00,8.03,n,333.06,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1879.677
7.88585,80.66019,2026-09-03 07:29:00,4.49,n,331.07,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1884.81
7.96085,79.96597,2026-09-03 07:29:00,2.68,n,333.06,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1913.0
8.10204,80.72932,2026-09-03 07:29:00,9.87,n,335.97,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1859.624
8.10524,80.73309,2026-09-03 07:29:00,8.29,n,337.22,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1859.114
8.19926,81.06908,2026-09-03 07:29:00,15.8,n,341.79,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1833.187
8.24832,80.14695,2026-09-03 07:29:00,6.75,n,348.24,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1874.978
8.26462,80.15033,2026-09-03 07:29:00,6.57,n,342.57,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1873.187
8.28586,80.21172,2026-09-03 07:29:00,3.29,n,336.6,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1867.831
8.30271,80.59719,2026-09-03 07:29:00,6.62,n,339.21,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1846.139
8.30449,80.19914,2026-09-03 07:29:00,2.36,n,332.88,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1866.654
8.33746,81.01548,2026-09-03 07:29:00,10.77,n,353.3,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1821.787
8.36755,81.04775,2026-09-03 07:29:00,10.25,n,332.21,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1817.17
8.44509,81.09625,2026-09-03 07:29:00,3.59,n,341.54,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1806.963
7.45927,81.3151,2026-09-03 07:29:00,7.11,n,334.62,N20,VIIRS,D,9869619338,Unnamed facility,storage_tank,,storage_tank,,1897.307
