latitude,longitude,acq_date,acq_time,acq_datetime,brightness,bright_ti5,frp,confidence,satellite,instrument,daynight,scan,track,version
26.5233,90.5319,2026-09-03,640,2026-09-03 06:40:00,340.13,291.91,5.37,n,N21,VIIRS,D,0.44,0.46,2.0NRT
27.98609,95.93691,2026-09-03,640,2026-09-03 06:40:00,333.62,298.61,8.26,n,N21,VIIRS,D,0.39,0.36,2.0NRT
27.32438,95.27836,2026-09-03,640,2026-09-03 06:40:00,330.51,294.53,2.0,n,N21,VIIRS,D,0.4,0.37,2.0NRT
7.46132,81.61855,2026-09-03,729,2026-09-03 07:29:00,331.29,297.01,5.54,n,N20,VIIRS,D,0.55,0.51,2.0NRT
7.52379,81.09198,2026-09-03,729,2026-09-03 07:29:00,332.6,304.6,17.96,l,N20,VIIRS,D,0.6,0.53,2.0NRT
7.55572,81.30218,2026-09-03,729,2026-09-03 07:29:00,331.63,301.33,5.41,n,N20,VIIRS,D,0.58,0.52,2.0NRT
7.62007,80.96745,2026-09-03,729,2026-09-03 07:29:00,331.9,295.1,5.49,n,N20,VIIRS,D,0.61,0.53,2.0NRT
7.68068,81.63508,2026-09-03,729,2026-09-03 07:29:00,337.95,299.27,4.17,n,N20,VIIRS,D,0.54,0.51,2.0NRT
7.6815,80.17891,2026-09-03,729,2026-09-03 07:29:00,333.59,293.96,4.12,n,N20,VIIRS,D,0.34,0.56,2.0NRT
7.73792,81.0778,2026-09-03,729,2026-09-03 07:29:00,333.06,297.9,8.03,n,N20,VIIRS,D,0.59,0.53,2.0NRT
7.88585,80.66019,2026-09-03,729,2026-09-03 07:29:00,331.07,294.29,4.49,n,N20,VIIRS,D,0.63,0.54,2.0NRT
7.96085,79.96597,2026-09-03,729,2026-09-03 07:29:00,333.06,291.73,2.68,n,N20,VIIRS,D,0.35,0.57,2.0NRT
8.10204,80.72932,2026-09-03,729,2026-09-03 07:29:00,335.97,296.4,9.87,n,N20,VIIRS,D,0.62,0.54,2.0NRT
8.10524,80.73309,2026-09-03,729,2026-09-03 07:29:00,337.22,296.45,8.29,n,N20,VIIRS,D,0.62,0.54,2.0NRT
8.19926,81.06908,2026-09-03,729,2026-09-03 07:29:00,341.79,296.96,15.8,n,N20,VIIRS,D,0.58,0.52,2.0NRT
8.24832,80.14695,2026-09-03,729,2026-09-03 07:29:00,348.24,295.76,6.75,n,N20,VIIRS,D,0.34,0.56,2.0NRT
8.26462,80.15033,2026-09-03,729,2026-09-03 07:29:00,342.57,294.66,6.57,n,N20,VIIRS,D,0.34,0.56,2.0NRT
8.28586,80.21172,2026-09-03,729,2026-09-03 07:29:00,336.6,294.11,3.29,n,N20,VIIRS,D,0.33,0.55,2.0NRT
8.30271,80.59719,2026-09-03,729,2026-09-03 07:29:00,339.21,295.97,6.62,n,N20,VIIRS,D,0.63,0.54,2.0NRT
8.30449,80.19914,2026-09-03,729,2026-09-03 07:29:00,332.88,295.86,2.36,n,N20,VIIRS,D,0.33,0.56,2.0NRT
8.33746,81.01548,2026-09-03,729,2026-09-03 07:29:00,353.3,298.04,10.77,n,N20,VIIRS,D,0.59,0.52,2.0NRT
8.36755,81.04775,2026-09-03,729,2026-09-03 07:29:00,332.21,297.17,10.25,n,N20,VIIRS,D,0.58,0.52,2.0NRT
8.44509,81.09625,2026-09-03,729,2026-09-03 07:29:00,341.54,296.34,3.59,n,N20,VIIRS,D,0.58,0.52,2.0NRT
7.45927,81.3151,2026-09-03,729,2026-09-03 07:29:00,334.62,296.14,7.11,n,N20,VIIRS,D,0.58,0.52,2.0NRT
7.44981,81.31694,2026-09-03,729,2026-09-03 07:29:00,337.83,297.09,9.76,n,N20,VIIRS,D,0.58,0.52,2.0NRT
6.21886,80.84835,2026-09-03,729,2026-09-03 07:29:00,352.86,294.52,12.97,n,N20,VIIRS,D,0.33,0.55,2.0NRT
7.44196,81.56097,2026-09-03,729,2026-09-03 07:29:00,340.72,295.36,10.29,n,N20,VIIRS,D,0.56,0.51,2.0NRT
6.26443,81.08537,2026-09-03,729,2026-09-03 07:29:00,332.67,295.69,6.89,n,N20,VIIRS,D,0.63,0.54,2.0NRT
7.4489,81.31174,2026-09-03,729,2026-09-03 07:29:00,331.01,295.67,10.37,n,N20,VIIRS,D,0.58,0.52,2.0NRT
6.21936,80.85124,2026-09-03,729,2026-09-03 07:29:00,367.0,293.02,12.37,h,N20,VIIRS,D,0.33,0.55,2.0NRT
6.8228,81.47654,2026-09-03,729,2026-09-03 07:29:00,337.9,299.54,4.03,n,N20,VIIRS,D,0.58,0.52,2.0NRT
6.92909,81.49213,2026-09-03,729,2026-09-03 07:29:00,334.14,297.15,3.2,n,N20,VIIRS,D,0.57,0.52,2.0NRT
6.93327,81.49461,2026-09-03,729,2026-09-03 07:29:00,334.15,294.88,5.26,n,N20,VIIRS,D,0.57,0.52,2.0NRT
7.0019,81.49043,2026-09-03,729,2026-09-03 07:29:00,331.99,299.83,7.65,n,N20,VIIRS,D,0.57,0.52,2.0NRT
7.09881,81.30836,2026-09-03,729,2026-09-03 07:29:00,338.99,296.24,6.88,n,N20,VIIRS,D,0.59,0.53,2.0NRT
7.13218,80.92467,2026-09-03,729,2026-09-03 07:29:00,338.65,294.59,7.09,n,N20,VIIRS,D,0.62,0.54,2.0NRT
7.13368,80.92213,2026-09-03,729,2026-09-03 07:29:00,344.79,296.2,13.75,n,N20,VIIRS,D,0.62,0.54,2.0NRT
7.13717,80.92435,2026-09-03,729,2026-09-03 07:29:00,332.22,293.77,8.33,n,N20,VIIRS,D,0.62,0.54,2.0NRT
6.8227,81.4789,2026-09-03,729,2026-09-03 07:29:00,340.14,300.63,4.65,n,N20,VIIRS,D,0.58,0.52,2.0NRT
7.21505,81.83522,2026-09-03,729,2026-09-03 07:29:00,341.64,298.25,3.23,n,N20,VIIRS,D,0.54,0.51,2.0NRT
7.14319,81.56036,2026-09-03,729,2026-09-03 07:29:00,331.83,300.45,3.38,n,N20,VIIRS,D,0.56,0.52,2.0NRT
7.40801,81.64283,2026-09-03,729,2026-09-03 07:29:00,337.1,297.23,3.69,n,N20,VIIRS,D,0.55,0.51,2.0NRT
7.38198,81.81867,2026-09-03,729,2026-09-03 07:29:00,335.02,298.19,4.29,n,N20,VIIRS,D,0.54,0.5,2.0NRT
7.37235,81.60337,2026-09-03,729,2026-09-03 07:29:00,337.78,297.77,7.97,n,N20,VIIRS,D,0.55,0.51,2.0NRT
7.37384,81.60008,2026-09-03,729,2026-09-03 07:29:00,337.83,297.07,6.02,n,N20,VIIRS,D,0.55,0.51,2.0NRT
7.36477,81.10838,2026-09-03,729,2026-09-03 07:29:00,331.17,302.27,7.86,l,N20,VIIRS,D,0.6,0.53,2.0NRT
7.36392,81.54081,2026-09-03,729,2026-09-03 07:29:00,330.09,292.77,6.1,n,N20,VIIRS,D,0.56,0.51,2.0NRT
7.30812,81.85378,2026-09-03,729,2026-09-03 07:29:00,330.62,299.5,4.9,n,N20,VIIRS,D,0.53,0.5,2.0NRT
7.30715,81.8511,2026-09-03,729,2026-09-03 07:29:00,330.92,300.1,3.47,n,N20,VIIRS,D,0.53,0.5,2.0NRT
7.36666,81.54342,2026-09-03,729,2026-09-03 07:29:00,337.55,292.88,7.58,n,N20,VIIRS,D,0.56,0.51,2.0NRT
9.40643,80.27791,2026-09-03,731,2026-09-03 07:31:00,342.51,294.9,11.41,n,N20,VIIRS,D,0.63,0.54,2.0NRT
9.45518,80.50696,2026-09-03,731,2026-09-03 07:31:00,344.57,295.11,8.3,n,N20,VIIRS,D,0.61,0.53,2.0NRT
9.40674,80.45943,2026-09-03,731,2026-09-03 07:31:00,337.9,297.06,8.78,n,N20,VIIRS,D,0.61,0.54,2.0NRT
9.42708,80.41814,2026-09-03,731,2026-09-03 07:31:00,332.15,296.59,8.81,n,N20,VIIRS,D,0.61,0.54,2.0NRT
9.43313,80.38053,2026-09-03,731,2026-09-03 07:31:00,343.61,296.41,8.46,n,N20,VIIRS,D,0.62,0.54,2.0NRT
9.43566,80.38232,2026-09-03,731,2026-09-03 07:31:00,342.04,296.09,3.98,n,N20,VIIRS,D,0.62,0.54,2.0NRT
9.4573,80.46156,2026-09-03,731,2026-09-03 07:31:00,331.23,295.35,5.33,n,N20,VIIRS,D,0.61,0.53,2.0NRT
12.44623,79.14983,2026-09-03,731,2026-09-03 07:31:00,338.77,293.75,3.06,n,N20,VIIRS,D,0.33,0.55,2.0NRT
9.65259,78.06654,2026-09-03,731,2026-09-03 07:31:00,335.92,294.43,6.03,n,N20,VIIRS,D,0.44,0.62,2.0NRT
9.7496,78.01988,2026-09-03,731,2026-09-03 07:31:00,342.77,297.86,9.94,n,N20,VIIRS,D,0.44,0.63,2.0NRT
9.75129,78.01684,2026-09-03,731,2026-09-03 07:31:00,343.09,297.06,10.6,n,N20,VIIRS,D,0.44,0.63,2.0NRT
10.49617,79.46641,2026-09-03,731,2026-09-03 07:31:00,343.03,298.62,3.94,n,N20,VIIRS,D,0.34,0.56,2.0NRT
12.74508,78.65624,2026-09-03,731,2026-09-03 07:31:00,335.06,292.08,4.03,n,N20,VIIRS,D,0.35,0.57,2.0NRT
14.10816,77.59407,2026-09-03,731,2026-09-03 07:31:00,330.93,285.44,3.39,n,N20,VIIRS,D,0.39,0.6,2.0NRT
9.40467,80.27582,2026-09-03,731,2026-09-03 07:31:00,344.59,294.97,7.92,n,N20,VIIRS,D,0.63,0.54,2.0NRT
9.65053,78.06663,2026-09-03,731,2026-09-03 07:31:00,343.52,295.22,5.67,n,N20,VIIRS,D,0.44,0.63,2.0NRT
9.22214,80.69701,2026-09-03,731,2026-09-03 07:31:00,335.77,294.27,8.65,n,N20,VIIRS,D,0.59,0.53,2.0NRT
8.6308,80.4159,2026-09-03,731,2026-09-03 07:31:00,333.51,296.55,2.74,n,N20,VIIRS,D,0.64,0.54,2.0NRT
9.13227,80.27708,2026-09-03,731,2026-09-03 07:31:00,340.2,293.4,4.0,n,N20,VIIRS,D,0.32,0.54,2.0NRT
8.34383,80.22264,2026-09-03,731,2026-09-03 07:31:00,350.25,297.31,10.95,n,N20,VIIRS,D,0.33,0.55,2.0NRT
8.34437,80.22562,2026-09-03,731,2026-09-03 07:31:00,342.36,295.88,10.95,n,N20,VIIRS,D,0.33,0.55,2.0NRT
8.35971,80.2533,2026-09-03,731,2026-09-03 07:31:00,335.5,294.26,2.35,n,N20,VIIRS,D,0.33,0.55,2.0NRT
8.41501,80.3905,2026-09-03,731,2026-09-03 07:31:00,367.0,295.38,8.63,h,N20,VIIRS,D,0.32,0.55,2.0NRT
8.46256,80.36608,2026-09-03,731,2026-09-03 07:31:00,333.5,295.22,3.73,n,N20,VIIRS,D,0.32,0.55,2.0NRT
8.49436,77.96617,2026-09-03,731,2026-09-03 07:31:00,330.46,294.43,3.34,n,N20,VIIRS,D,0.47,0.64,2.0NRT
8.51105,80.40782,2026-09-03,731,2026-09-03 07:31:00,331.08,295.65,3.29,n,N20,VIIRS,D,0.32,0.55,2.0NRT
8.52967,80.84583,2026-09-03,731,2026-09-03 07:31:00,335.62,296.99,5.39,n,N20,VIIRS,D,0.6,0.53,2.0NRT
