latitude,longitude,acq_date,acq_time,acq_datetime,brightness,bright_ti5,frp,confidence,satellite,instrument,daynight,scan,track,version
26.5233,90.5319,2026-09-03,640,2026-09-03 06:40:00,340.13,291.91,5.37,n,N21,VIIRS,D,0.44,0.46,2.0NRT
27.98609,95.93691,2026-09-03,640,2026-09-03 06:40:00,333.62,298.61,8.26,n,N21,VIIRS,D,0.39,0.36,2.0NRT
27.32438,95.27836,2026-09-03,640,2026-09-03 06:40:00,330.51,294.53,2.0,n,N21,VIIRS,D,0.4,0.37,2.0NRT
12.44623,79.14983,2026-09-03,731,2026-09-03 07:31:00,338.77,293.75,3.06,n,N20,VIIRS,D,0.33,0.55,2.0NRT
9.65259,78.06654,2026-09-03,731,2026-09-03 07:31:00,335.92,294.43,6.03,n,N20,VIIRS,D,0.44,0.62,2.0NRT
9.7496,78.01988,2026-09-03,731,2026-09-03 07:31:00,342.77,297.86,9.94,n,N20,VIIRS,D,0.44,0.63,2.0NRT
9.75129,78.01684,2026-09-03,731,2026-09-03 07:31:00,343.09,297.06,10.6,n,N20,VIIRS,D,0.44,0.63,2.0NRT
10.49617,79.46641,2026-09-03,731,2026-09-03 07:31:00,343.03,298.62,3.94,n,N20,VIIRS,D,0.34,0.56,2.0NRT
12.74508,78.65624,2026-09-03,731,2026-09-03 07:31:00,335.06,292.08,4.03,n,N20,VIIRS,D,0.35,0.57,2.0NRT
14.10816,77.59407,2026-09-03,731,2026-09-03 07:31:00,330.93,285.44,3.39,n,N20,VIIRS,D,0.39,0.6,2.0NRT
9.65053,78.06663,2026-09-03,731,2026-09-03 07:31:00,343.52,295.22,5.67,n,N20,VIIRS,D,0.44,0.63,2.0NRT
8.49436,77.96617,2026-09-03,731,2026-09-03 07:31:00,330.46,294.43,3.34,n,N20,VIIRS,D,0.47,0.64,2.0NRT
8.86345,78.08493,2026-09-03,731,2026-09-03 07:31:00,338.14,294.83,2.28,n,N20,VIIRS,D,0.46,0.63,2.0NRT
8.995,78.11643,2026-09-03,731,2026-09-03 07:31:00,341.06,295.85,3.27,n,N20,VIIRS,D,0.45,0.63,2.0NRT
23.78796,85.55418,2026-09-03,733,2026-09-03 07:33:00,332.27,293.58,2.83,n,N20,VIIRS,D,0.39,0.36,2.0NRT
23.78466,85.55476,2026-09-03,733,2026-09-03 07:33:00,332.14,294.27,2.83,n,N20,VIIRS,D,0.39,0.36,2.0NRT
21.16354,72.67133,2026-09-03,733,2026-09-03 07:33:00,338.1,287.54,5.44,n,N20,VIIRS,D,0.59,0.7,2.0NRT
23.77443,86.36435,2026-09-03,733,2026-09-03 07:33:00,340.16,296.49,4.56,n,N20,VIIRS,D,0.4,0.37,2.0NRT
23.77833,86.3914,2026-09-03,733,2026-09-03 07:33:00,333.93,296.63,5.61,n,N20,VIIRS,D,0.4,0.37,2.0NRT
21.10291,72.64852,2026-09-03,733,2026-09-03 07:33:00,334.62,288.64,9.08,n,N20,VIIRS,D,0.6,0.7,2.0NRT
22.36557,87.30296,2026-09-03,733,2026-09-03 07:33:00,343.37,298.96,9.64,n,N20,VIIRS,D,0.41,0.37,2.0NRT
23.66255,87.15377,2026-09-03,733,2026-09-03 07:33:00,330.63,292.84,3.12,n,N20,VIIRS,D,0.41,0.37,2.0NRT
27.9844,95.93944,2026-09-03,735,2026-09-03 07:35:00,348.14,289.43,7.85,n,N20,VIIRS,D,0.48,0.65,2.0NRT
9.21627,78.64738,2026-09-03,816,2026-09-03 08:16:00,335.65,302.15,11.12,n,N21,VIIRS,D,0.45,0.39,2.0NRT
8.60675,77.96529,2026-09-03,816,2026-09-03 08:16:00,339.2,303.99,4.94,n,N21,VIIRS,D,0.41,0.37,2.0NRT
8.61016,77.96478,2026-09-03,816,2026-09-03 08:16:00,338.69,304.46,3.89,n,N21,VIIRS,D,0.41,0.37,2.0NRT
8.6202,77.77351,2026-09-03,816,2026-09-03 08:16:00,354.2,313.01,23.1,n,N21,VIIRS,D,0.41,0.37,2.0NRT
8.62075,77.77719,2026-09-03,816,2026-09-03 08:16:00,348.05,312.84,31.99,n,N21,VIIRS,D,0.41,0.37,2.0NRT
8.81242,78.05347,2026-09-03,816,2026-09-03 08:16:00,342.91,305.82,8.02,n,N21,VIIRS,D,0.42,0.38,2.0NRT
8.83873,77.68748,2026-09-03,816,2026-09-03 08:16:00,339.97,309.13,7.33,n,N21,VIIRS,D,0.41,0.37,2.0NRT
8.86602,78.08418,2026-09-03,816,2026-09-03 08:16:00,348.47,306.22,13.83,n,N21,VIIRS,D,0.42,0.38,2.0NRT
10.11128,77.65968,2026-09-03,816,2026-09-03 08:16:00,349.06,306.96,6.72,n,N21,VIIRS,D,0.42,0.37,2.0NRT
10.11183,77.66344,2026-09-03,816,2026-09-03 08:16:00,343.37,308.57,6.72,n,N21,VIIRS,D,0.42,0.37,2.0NRT
10.11921,77.66613,2026-09-03,816,2026-09-03 08:16:00,342.56,308.33,8.07,n,N21,VIIRS,D,0.42,0.37,2.0NRT
10.23588,79.19627,2026-09-03,816,2026-09-03 08:16:00,338.92,303.12,9.69,n,N21,VIIRS,D,0.49,0.4,2.0NRT
10.67869,78.942,2026-09-03,816,2026-09-03 08:16:00,335.66,296.53,7.36,n,N21,VIIRS,D,0.48,0.4,2.0NRT
10.74984,78.97149,2026-09-03,816,2026-09-03 08:16:00,332.9,295.07,3.0,n,N21,VIIRS,D,0.48,0.4,2.0NRT
10.78625,77.79347,2026-09-03,816,2026-09-03 08:16:00,343.36,305.5,9.5,n,N21,VIIRS,D,0.43,0.38,2.0NRT
10.82759,77.76785,2026-09-03,816,2026-09-03 08:16:00,337.1,300.51,2.88,n,N21,VIIRS,D,0.42,0.38,2.0NRT
10.84841,78.50124,2026-09-03,816,2026-09-03 08:16:00,347.91,299.73,10.66,n,N21,VIIRS,D,0.46,0.39,2.0NRT
9.99129,78.08318,2026-09-03,816,2026-09-03 08:16:00,338.8,304.35,6.7,n,N21,VIIRS,D,0.43,0.38,2.0NRT
11.00386,79.25903,2026-09-03,816,2026-09-03 08:16:00,335.16,300.72,2.95,n,N21,VIIRS,D,0.5,0.41,2.0NRT
11.39026,78.14157,2026-09-03,816,2026-09-03 08:16:00,341.79,296.62,3.98,n,N21,VIIRS,D,0.44,0.39,2.0NRT
11.45467,77.59742,2026-09-03,816,2026-09-03 08:16:00,332.46,294.74,2.43,n,N21,VIIRS,D,0.42,0.38,2.0NRT
11.50959,79.52499,2026-09-03,816,2026-09-03 08:16:00,333.9,290.66,5.71,n,N21,VIIRS,D,0.52,0.42,2.0NRT
11.18612,79.70135,2026-09-03,816,2026-09-03 08:16:00,330.95,299.27,5.73,n,N21,VIIRS,D,0.53,0.42,2.0NRT
9.97086,78.1619,2026-09-03,816,2026-09-03 08:16:00,338.94,305.27,10.42,n,N21,VIIRS,D,0.43,0.38,2.0NRT
9.96128,78.07182,2026-09-03,816,2026-09-03 08:16:00,336.64,304.12,4.62,n,N21,VIIRS,D,0.43,0.38,2.0NRT
8.94545,77.81496,2026-09-03,816,2026-09-03 08:16:00,344.36,308.85,17.83,n,N21,VIIRS,D,0.41,0.37,2.0NRT
8.9933,78.1157,2026-09-03,816,2026-09-03 08:16:00,337.51,304.75,5.51,n,N21,VIIRS,D,0.42,0.38,2.0NRT
8.99674,78.11518,2026-09-03,816,2026-09-03 08:16:00,340.06,305.42,5.51,n,N21,VIIRS,D,0.42,0.38,2.0NRT
9.96184,78.0757,2026-09-03,816,2026-09-03 08:16:00,340.11,306.26,4.62,n,N21,VIIRS,D,0.43,0.38,2.0NRT
9.25096,77.98447,2026-09-03,816,2026-09-03 08:16:00,343.73,303.2,48.71,n,N21,VIIRS,D,0.42,0.38,2.0NRT
9.40985,78.81035,2026-09-03,816,2026-09-03 08:16:00,339.93,299.81,5.62,n,N21,VIIRS,D,0.46,0.39,2.0NRT
9.73456,77.55122,2026-09-03,816,2026-09-03 08:16:00,337.71,305.79,6.46,n,N21,VIIRS,D,0.41,0.37,2.0NRT
9.85865,78.18647,2026-09-03,816,2026-09-03 08:16:00,337.09,302.06,9.4,n,N21,VIIRS,D,0.43,0.38,2.0NRT
9.38139,78.7643,2026-09-03,816,2026-09-03 08:16:00,336.4,299.81,4.09,n,N21,VIIRS,D,0.45,0.39,2.0NRT
14.78736,79.80198,2026-09-03,818,2026-09-03 08:18:00,330.46,289.61,3.45,n,N21,VIIRS,D,0.4,0.44,2.0NRT
16.46553,79.58845,2026-09-03,818,2026-09-03 08:18:00,331.47,292.36,2.66,n,N21,VIIRS,D,0.41,0.45,2.0NRT
18.24572,75.4022,2026-09-03,818,2026-09-03 08:18:00,336.99,294.85,4.06,n,N21,VIIRS,D,0.4,0.37,2.0NRT
18.5062,74.34609,2026-09-03,818,2026-09-03 08:18:00,343.88,303.18,5.6,n,N21,VIIRS,D,0.39,0.36,2.0NRT
18.65981,74.60452,2026-09-03,818,2026-09-03 08:18:00,333.35,303.89,2.45,l,N21,VIIRS,D,0.39,0.36,2.0NRT
13.943,76.36328,2026-09-03,818,2026-09-03 08:18:00,332.79,295.38,3.33,n,N21,VIIRS,D,0.4,0.37,2.0NRT
13.24685,76.39126,2026-09-03,818,2026-09-03 08:18:00,339.05,287.26,5.27,n,N21,VIIRS,D,0.4,0.37,2.0NRT
21.10691,72.6467,2026-09-03,820,2026-09-03 08:20:00,353.0,303.51,9.19,n,N21,VIIRS,D,0.39,0.36,2.0NRT
23.30886,69.4185,2026-09-03,820,2026-09-03 08:20:00,333.65,301.35,5.76,n,N21,VIIRS,D,0.45,0.39,2.0NRT
22.92924,70.1059,2026-09-03,820,2026-09-03 08:20:00,335.84,303.18,8.52,l,N21,VIIRS,D,0.43,0.38,2.0NRT
19.41619,74.73562,2026-09-03,820,2026-09-03 08:20:00,335.63,295.77,4.98,n,N21,VIIRS,D,0.4,0.37,2.0NRT
21.10192,72.63627,2026-09-03,820,2026-09-03 08:20:00,339.66,300.92,9.64,n,N21,VIIRS,D,0.39,0.36,2.0NRT
21.10363,72.64727,2026-09-03,820,2026-09-03 08:20:00,341.64,302.04,9.19,n,N21,VIIRS,D,0.39,0.36,2.0NRT
22.92853,70.10656,2026-09-03,820,2026-09-03 08:20:00,332.86,302.73,7.14,l,N21,VIIRS,D,0.43,0.38,2.0NRT
21.1085,72.63512,2026-09-03,820,2026-09-03 08:20:00,338.53,301.34,6.92,n,N21,VIIRS,D,0.39,0.36,2.0NRT
21.16552,72.67063,2026-09-03,820,2026-09-03 08:20:00,343.59,300.03,5.56,n,N21,VIIRS,D,0.38,0.36,2.0NRT
31.16984,75.04272,2026-09-03,822,2026-09-03 08:22:00,335.59,296.53,4.87,n,N21,VIIRS,D,0.51,0.41,2.0NRT
31.62567,74.98903,2026-09-03,822,2026-09-03 08:22:00,332.14,296.26,4.15,n,N21,VIIRS,D,0.51,0.41,2.0NRT
31.81754,74.59283,2026-09-03,822,2026-09-03 08:22:00,340.73,296.72,6.08,n,N21,VIIRS,D,0.5,0.41,2.0NRT
21.16206,72.674,2026-09-03,915,2026-09-03 09:15:00,341.15,289.0,6.29,n,N20,VIIRS,D,0.56,0.68,2.0NRT
